Href,Description,Rating %,feedbacks amount
https://www.ebay.com/itm/autowit-Backup-Camera-5-0-IPS-Mirror-Dash-Cam-Dual-Dashboard-Camera-Recorder/283292782809?hash=item41f590d0d9:g:owMAAOSwztVcCU9s,"autowit Backup Camera 5.0"" IPS Mirror Dash Cam Dual Dashboard Camera Recorder...",100.0,652
https://www.ebay.com/itm/NEXGADGET-Dash-Cam-5-0-Full-HD-1080P-150-Wide-Angle-Dual-Dashboard-Camera/292277109070?epid=1694676448&hash=item440d12c14e:g:9W4AAOSwGx1Z0W6i,"NEXGADGET Dash Cam 5.0"" Full HD 1080P 150 Wide Angle Dual Dashboard Camera",100.0,827
https://www.ebay.com/itm/New-Sealed-Vantrue-R3-1296P-Dash-Cam-Super-HD-2K-Car-Dashboard-Camera-Recorder/292662102544?hash=item4424054a10:g:ek0AAOSwUYNaIGGO,New Sealed Vantrue R3 1296P Dash Cam Super HD 2K Car Dashboard Camera Recorder,100.0,1594
https://www.ebay.com/itm/Lot-of-3-iDrive-X-1-Dashboard-Camera-Hard-Wired-VNT6656G6A40-used/142541663113?hash=item2130252b89:g:nEoAAOSw04ZZ5RnA,"Lot of 3 iDrive X.1 Dashboard Camera  Hard- Wired VNT6656G6A40, used",100.0,768
https://www.ebay.com/itm/Sebikam-3-0-Full-HD-Car-Dash-Cam-170-Degree-Wide-Dashboard-Camera-with-3-Scree/123417912611?hash=item1cbc47e523:g:TbIAAOSwC0dbvjdS,"Sebikam 3.0"" Full HD Car Dash Cam 170 Degree Wide Dashboard Camera with 3"" Scree",100.0,2786
https://www.ebay.com/itm/iDrive-X-1-Dashboard-Camera-Hard-Wired-VNT6656G6A40-NEW-NO-BOX/142541583411?hash=item213023f433:g:HHYAAOSwQltZ5QTB,"iDrive X.1 Dashboard Camera  Hard- Wired VNT6656G6A40, NEW NO BOX",100.0,768
https://www.ebay.com/itm/Dashboard-DVR-Cam-Vehicle-Camera-Recorder-Dash-Cam-170-Deg-Wide-Angle-32GB-Card/122295625603?hash=item1c79632783:g:PiAAAOSwKz9Zm0W3,Dashboard DVR Cam Vehicle Camera Recorder Dash Cam 170 Deg. Wide Angle+32GB Card,100.0,11770
https://www.ebay.com/itm/Car-Black-Box-Wide-Angle-Dashboard-Camera-Recorder-Dash-Cam-W-Loop-Recording/182364029962?hash=item2a75be440a:g:PsYAAOSw~VBcGR93,Car Black Box Wide Angle Dashboard Camera Recorder Dash Cam W/  Loop Recording,100.0,11770
https://www.ebay.com/itm/Armorall-Universal-HD-Dashboard-Camera-ADC2-1003-360-Degree-Rotation-New-Sealed/273143432539?epid=2254318354&hash=item3f989e055b:g:Kd4AAOSwZVJaxX5U,Armorall Universal HD Dashboard Camera ADC2-1003 360 Degree Rotation New Sealed!,100.0,1173
https://www.ebay.com/itm/NEW-SCOSCHE-DDVR2ST-HD-DVR-Dash-Cam-Dashboard-Camera-1080p-HD-DVR/183330929920?epid=20010989430&hash=item2aaf5ffd00:g:A28AAOSwvrxbTnjy,NEW SCOSCHE DDVR2ST HD DVR Dash Cam Dashboard Camera (1080p HD DVR),100.0,855
